id,title,content,summary,category,image_url,link
32eae45d-490d-4e4a-8239-d9261027a385,AI Breakthrough Improves Medical Diagnosis Accuracy,"A groundbreaking artificial intelligence system developed by researchers has significantly improved the accuracy of early medical diagnoses, potentially saving millions of lives.","A groundbreaking artificial intelligence system developed by researchers has significantly improved the accuracy of early medical diagnoses, potential...",Health,https://via.placeholder.com/400x250?text=News+1,https://news-example.com/article/1
8cf23c0d-3437-41c8-affe-6b5221929b7d,Global Markets Rally After Positive Earnings Reports,"Stock markets worldwide rose today following stronger-than-expected quarterly earnings from leading global companies, boosting investor confidence.","Stock markets worldwide rose today following stronger-than-expected quarterly earnings from leading global companies, boosting investor confidence....",Business,https://via.placeholder.com/400x250?text=News+2,https://news-example.com/article/2
1ece9f9e-2854-4fe2-8a6f-67e7567ab512,NASA Confirms New Plan for Mars Human Mission,"NASA has unveiled updated plans for a human mission to Mars, aiming for a 2035 launch window and introducing new spacecraft technology.","NASA has unveiled updated plans for a human mission to Mars, aiming for a 2035 launch window and introducing new spacecraft technology....",Science,https://via.placeholder.com/400x250?text=News+3,https://news-example.com/article/3
564a897f-f4e8-4316-9b5d-3d18c4832404,Major Tech Firms Unite to Fight Cybercrime,Several major technology corporations have announced a joint cybersecurity task force designed to combat increasing levels of ransomware attacks.,Several major technology corporations have announced a joint cybersecurity task force designed to combat increasing levels of ransomware attacks....,Technology,https://via.placeholder.com/400x250?text=News+4,https://news-example.com/article/4
bd84d080-c6e6-4b8d-9535-d70de296e7e2,Electric Vehicle Adoption Hits Record Numbers,"Global sales of electric vehicles have soared to record highs this year, driven by climate policies and expanding charging infrastructure.","Global sales of electric vehicles have soared to record highs this year, driven by climate policies and expanding charging infrastructure....",Business,https://via.placeholder.com/400x250?text=News+5,https://news-example.com/article/5
73a57d24-f69b-465b-8935-fbe5537db746,New Drug Shows Promise in Cancer Treatment Trials,"A newly developed experimental drug has shown exceptional results in early-stage cancer treatment trials, offering renewed hope to patients.","A newly developed experimental drug has shown exceptional results in early-stage cancer treatment trials, offering renewed hope to patients....",Health,https://via.placeholder.com/400x250?text=News+6,https://news-example.com/article/6
144272bb-e86a-43a5-85e1-854e503636fa,Climate Summit Reaches Historic Carbon Agreement,Leaders at the international climate summit have finalized a historic agreement to drastically reduce global carbon emissions by 2050.,Leaders at the international climate summit have finalized a historic agreement to drastically reduce global carbon emissions by 2050....,World,https://via.placeholder.com/400x250?text=News+7,https://news-example.com/article/7
2b4c9de8-5963-4762-b463-9e8b964fa47e,Football Legend Announces Retirement After 22 Years,"Football superstar John Richards has officially retired after a remarkable 22-year career, leaving behind an unforgettable legacy.","Football superstar John Richards has officially retired after a remarkable 22-year career, leaving behind an unforgettable legacy....",Sports,https://via.placeholder.com/400x250?text=News+8,https://news-example.com/article/8
ae7170fd-0f96-48f7-9ea6-41720745b2d5,Scientists Discover Possible Signs of Alien Life,Researchers studying a distant exoplanet have reported atmospheric signatures that could indicate the presence of extraterrestrial microbial life.,Researchers studying a distant exoplanet have reported atmospheric signatures that could indicate the presence of extraterrestrial microbial life....,Science,https://via.placeholder.com/400x250?text=News+9,https://news-example.com/article/9
778d8c9e-65e9-4f54-ba95-b5119da06960,Streaming Platforms Compete in Content Expansion War,"Major streaming services are aggressively expanding original content libraries, signaling the next phase of global entertainment competition.","Major streaming services are aggressively expanding original content libraries, signaling the next phase of global entertainment competition....",Entertainment,https://via.placeholder.com/400x250?text=News+10,https://news-example.com/article/10
420dadfd-a40d-406c-b182-e69b500e7926,Economic Growth Slows Amid Rising Inflation Concerns,"New economic data shows a slowdown in global financial growth, largely attributed to rising inflation and supply chain disruptions.","New economic data shows a slowdown in global financial growth, largely attributed to rising inflation and supply chain disruptions....",Business,https://via.placeholder.com/400x250?text=News+11,https://news-example.com/article/11
6cf10ac5-1b60-4c4c-b3b1-7883738620e3,Breakthrough Battery Technology Extends EV Range,Scientists have unveiled a next-generation EV battery capable of doubling driving range while significantly cutting charging time.,Scientists have unveiled a next-generation EV battery capable of doubling driving range while significantly cutting charging time....,Technology,https://via.placeholder.com/400x250?text=News+12,https://news-example.com/article/12
d9b7843a-dffd-4377-9666-2e2832c532b1,Government Introduces New Digital Data Privacy Bill,The government has proposed comprehensive new legislation aimed at strengthening digital privacy protections for citizens.,The government has proposed comprehensive new legislation aimed at strengthening digital privacy protections for citizens....,Politics,https://via.placeholder.com/400x250?text=News+13,https://news-example.com/article/13
3543dec1-0f75-4c1b-bb6e-e3085af19b0c,Breakthrough in Quantum Computing Achieved,"Physicists have achieved a new milestone in quantum computing, demonstrating a system capable of solving complex problems faster than classical machines.","Physicists have achieved a new milestone in quantum computing, demonstrating a system capable of solving complex problems faster than classical machin...",Technology,https://via.placeholder.com/400x250?text=News+14,https://news-example.com/article/14
837c3887-e883-450c-bbfd-d20c0e0cd945,Wildfires Spread Rapidly Across Western Regions,"Massive wildfires fueled by extreme heat and drought conditions continue to spread across western regions, prompting emergency evacuations.","Massive wildfires fueled by extreme heat and drought conditions continue to spread across western regions, prompting emergency evacuations....",World,https://via.placeholder.com/400x250?text=News+15,https://news-example.com/article/15
10d902dc-ce78-40e0-9663-8d3cddbb03b3,Study Finds Social Media Impacts Teen Mental Health,A new study reveals increased social media exposure may play a key role in rising mental health concerns among teenagers.,A new study reveals increased social media exposure may play a key role in rising mental health concerns among teenagers....,Health,https://via.placeholder.com/400x250?text=News+16,https://news-example.com/article/16
2e7a94d4-48e8-496e-a5d5-a47c2df8415f,Tech Giant Launches AI-powered Personal Assistant,A major tech company has launched an advanced AI-powered assistant capable of understanding human emotions and predicting user needs.,A major tech company has launched an advanced AI-powered assistant capable of understanding human emotions and predicting user needs....,Technology,https://via.placeholder.com/400x250?text=News+17,https://news-example.com/article/17
b1ecdca2-fb68-46ab-8edf-3c1f3b1215ca,Space Telescope Captures Stunning Deep Universe Images,"The James Webb Space Telescope has captured breathtaking images of distant galaxies, providing insights into early cosmic formation.","The James Webb Space Telescope has captured breathtaking images of distant galaxies, providing insights into early cosmic formation....",Science,https://via.placeholder.com/400x250?text=News+18,https://news-example.com/article/18
f2790eb4-e0e0-4821-b33d-ce1a4cdb1bde,Researchers Develop Biodegradable Plastic Alternative,"A team of engineers has developed a biodegradable plastic alternative that decomposes naturally within months, reducing pollution.","A team of engineers has developed a biodegradable plastic alternative that decomposes naturally within months, reducing pollution....",Environment,https://via.placeholder.com/400x250?text=News+19,https://news-example.com/article/19
488e10c5-4217-4fdf-ad3b-fdfcb57fe10e,Premier League Club Signs Record Transfer Deal,One of the world's biggest football clubs has confirmed a record-breaking transfer deal worth over $200 million.,One of the world's biggest football clubs has confirmed a record-breaking transfer deal worth over $200 million....,Sports,https://via.placeholder.com/400x250?text=News+20,https://news-example.com/article/20